Title,Category,Questions Average BLEU,Options Average BLEU,,,,,
What if everyone jumped at once?,Earth and Space Science,0.705175262,0.793042053,,,,,
Can plants talk to each other? - Richard Karban,Environmental Science,0.72818947,0.522632204,,,,,
"How you could get away with murder in Yellowstone's ""Zone of Death""",Social Studies,0.693642133,0.534666816,,,,,
The amazing life of sand,Earth and Space Science,0.718780027,0.316443243,,,,,
Why is this painting so captivating? - James Earle and Christina Bozsik,The Arts,0.767814164,0.55156036,,,,,
Does chocolate really lower your blood pressure?,Health,0.704030181,0.648011548,,,,,
Why all world maps are wrong,Design,0.729877975,0.561752501,,,,,
How does impeachment work? - Alex Gendler,Civics,0.69970665,0.447984279,,,,,
How do you get rid of acne?,Health,0,0,,,,,
Why wasn't the Bill of Rights originally in the US Constitution? - James Coll,History,0.698039362,0.2897123,,,,,
10 dangerous fashion trends,The Arts,0,0,,,,,
A shark-deterrent wetsuit (and it's not what you think),The Arts,0,0,,,,,
How to spot a counterfeit bill - Tien Nguyen,"Design, Engineering & Technology",0.726667805,0.495269011,,,,,
Which sunscreen should you choose? - Mary Poffenroth,Environmental Science,0.771835586,0.665505099,,,,,
How mucus keeps us healthy - Katharina Ribbeck,Health,0.790538577,0.661763369,,,,,
Why are there so many types of apples? - Theresa Doud,Science & Technology,0.745914767,0.480517801,,,,,
Can you solve the false positive riddle? - Alex Gendler,Mathematics,0.768528118,1,,,,,
Cell membranes are way more complicated than you think - Nazzy Pakpour,Life Sciences,0.721794662,0.566700828,,,,,
Why does your voice change as you get older? - Shaylin A. Schundler,Health,0.75971978,0.54298278,,,,,
Plato's best (and worst) ideas - Wisecrack,Philosophy,0.659790976,0.592966945,,,,,
Why doesn't anything stick to Teflon? - Ashwini Bharathula,Science & Technology,0.797929567,0.693053647,,,,,
The origins of ballet - Jennifer Tortorello and Adrienne Westwood,Nature of Science,0.758230754,0.554766752,,,,,
Why do our bodies age? - Monica Menesini,Health,0.689286567,0.169363287,,,,,
How to detect a supernova - Samantha Kuula,"Design, Engineering & Technology",0.735803004,0.891136359,,,,,
NASA at Saturn: Cassini's Grand Finale,Science & Technology,0.709033983,0.780697118,,,,,
What's the difference between accuracy and precision? - Matt Anticole,"Design, Engineering & Technology",0.725211863,0.28866914,,,,,
Why Don't Ants Get Stuck In Traffic?,Science & Technology,0.700121182,0.29002024,,,,,
History vs. Cleopatra - Alex Gendler,History,0.745004353,0.382192258,,,,,
The insanely painful sting of the bullet ant,Science & Technology,0,0,,,,,
What is abstract expressionism? - Sarah Rosenthal,The Arts,0.714720726,0.365847057,,,,,
The Leap Year Explained,Mathematics,0.72087443,1,,,,,
"Why should you listen to Vivaldi's ""Four Seasons""? - Betsy Schwarm",Performing Arts,0.719669069,0.580829347,,,,,
Why incompetent people think they're amazing - David Dunning,Social Psychology,0.740335144,0.457732523,,,,,
Why isn't the world covered in poop? - Eleanor Slade and Paul Manning,Life Sciences,0.751600848,0.329900026,,,,,
How people rationalize fraud - Kelly Richmond Pope,Business & Economics,0.697660409,0.62552608,,,,,
How interpreters juggle two languages at once - Ewandro Magalhaes,The Arts,0.717376642,0.372223034,,,,,
How Americans got stuck with endless drug commercials,Public Health,0.68291022,0.549920711,,,,,
The rise and fall of the Berlin Wall - Konrad H. Jarausch,History,0.652489036,0.385469339,,,,,
Why are manhole covers round? - Marc Chamberland,Mathematics,0.761223268,0.228225934,,,,,
Can you solve the rebel supplies riddle? - Alex Gendler,Mathematics,0.716197702,0.229500366,,,,,
What should you listen to when you want to focus?,Psychology,0.689700035,0.474146628,,,,,
The psychology of accents,Cognition and Learning,0.715313478,0.532048652,,,,,
The benefits of good posture - Murat Dalkilin??,Health,0.741035928,0.467556839,,,,,
Why do we hiccup? - John Cameron,Science & Technology,0.704276513,0.500724439,,,,,
Harry Potter and the translator's nightmare,Literature & Language,0.712304514,0.536298449,,,,,
What causes constipation? - Heba Shaheed,Health,0.738674049,0.442961995,,,,,
How do hard drives work? - Kanawat Senanan,"Design, Engineering & Technology",0.758000745,0.456864365,,,,,
The neuroscience of imagination - Andrey Vyshedskiy,Psychology,0.6990529,0.436644482,,,,,
Can you solve the frog riddle? - Derek Abbott,Psychology,0.718407825,1,,,,,
The World's Roundest Object (and Why it Exists),"Design, Engineering & Technology",0,0,,,,,
How a TV works in slow motion,Science & Technology,0,0,,,,,
How transistors work - Gokul J. Krishnan,"Design, Engineering & Technology",0.733179685,0.476114542,,,,,
The science of static electricity - Anuradha Bhagwat,Science & Technology,0.72035505,0.26218727,,,,,
Why a total solar eclipse is such a big deal,Science & Technology,0.752479131,0.413320063,,,,,
What is the universe expanding into? - Sajan Saini,Science & Technology,0.747892717,0.222986809,,,,,
The science of milk - Jonathan J. O'Sullivan,Nutrition,0.752213183,0.943049101,,,,,
The math behind Michael Jordan's legendary hang time - Andy Peterson and Zack Patterson,Mathematics,0.745241526,0.437063898,,,,,
Can you solve the giant cat army riddle? - Dan Finkel,Mathematics,0.730798613,1,,,,,
How much of human history is on the bottom of the ocean? - Peter Campbell,Geography,0.746471072,0.258810927,,,,,
The impostor syndrome,Psychology,0.719640467,0.67601765,,,,,
Why do animals have such different lifespans? - Joao Pedro de Magalhaes,Life Sciences,0.737756229,0.494674972,,,,,
4 Logical Paradoxes,Philosophy,0.710573404,0.479208827,,,,,
How computers translate human language - Ioannis Papachimonas,"Design, Engineering & Technology",0.702828764,0.363196287,,,,,
How does your body know what time it is? - Marco A. Sotomayor,Life Sciences,0.697753666,0.458231547,,,,,
What really matters at the end of life | BJ Miller,Health,0,0,,,,,
Why the metric system matters - Matt Anticole,Measurement,0.725554513,0.605783621,,,,,
Why do cats act so weird? - Tony Buffington,Nature of Science,0.693563838,0.592176155,,,,,
Aphasia: The disorder that makes you lose your words - Susan Wortman-Jutt,Medical Conditions,0.72073658,0.61277711,,,,,
How menstruation works - Emma Bryce,Health,0.67915224,0.577095114,,,,,
Did ancient Troy really exist? - Einav Zamir Dembin,Social Psychology,0.745523531,0.696838873,,,,,
The Psychology of Listicles,Psychology,0.700350686,1,,,,,
What causes bad breath? - Mel Rosenberg,Health,0.740114219,0.685746428,,,,,
Will the ocean ever run out of fish? - Ayana Elizabeth Johnson and Jennifer Jacquet,Environmental Science,0.709055457,0.915318391,,,,,
Can you solve the egg drop riddle? - Yossi Elran,Mathematics,0.696489318,0.931400667,,,,,
Are Deodorants Bad For You?,Health,0.722378888,0.300380853,,,,,
Are Boys Smarter Than Girls?,Thinking & Learning,0.616134621,0.266566304,,,,,
"Why is Vermeer's ""Girl with the Pearl Earring"" considered a masterpiece? - James Earle",Visual Arts,0.698424667,0.26499129,,,,,
The oldest living things in the world,Literature & Language,0.726226158,0.678080243,,,,,
The pleasure of poetic pattern - David Silverstein,Literature & Language,0.740094226,0.495761707,,,,,
Friendship & vulnerability,Psychology,0.696923012,0.451132262,,,,,
Can you solve the buried treasure riddle? - Daniel Griller,Mathematics,0.682826294,1,,,,,
The incredible collaboration behind the International Space Station - Tien Nguyen,"Design, Engineering & Technology",0.736751304,0.724644089,,,,,
What's the big deal with gluten? - William D. Chey,Health,0.733011194,0.749003617,,,,,
How many verb tenses are there in English? - Anna Ananichuk,Writing/Composition,0.733962865,0.494676126,,,,,
How do geckos defy gravity? - Eleanor Nelsen,Science & Technology,0.694212411,0.621819146,,,,,
Why is being scared so fun? - Margee Kerr,Psychology,0.724440096,0.605015438,,,,,
How to make your writing suspenseful - Victoria Smith,Writing/Composition,0.675506085,0.578131494,,,,,
The mathematics of sidewalk illusions - Fumiko Futamura,Visual Arts,0.751367706,0.631885586,,,,,
What's the ultimate campfire fuel?,Physical Science,0.74254393,0.683934956,,,,,
Can you solve the virus riddle? - Lisa Winer,Problem Solving,0.752168815,0.874186594,,,,,
Is there a reproducibility crisis in science? - Matt Anticole,Science & Technology,0.690377949,0.202327126,,,,,
Time: the history & future of everything,Science & Technology,0.746639074,0.321637626,,,,,
Why the ocean is getting louder,Science & Technology,0.669945262,0.345600315,,,,,
The surprising link between stress and memory - Elizabeth Cox,Literature & Language,0.694723234,0.57748984,,,,,
When is water safe to drink? - Mia Nacamulli,Health,0.715262658,0.516914992,,,,,
Want to survive a hurricane? Think like a tree...,"Design, Engineering & Technology",0.699935832,0.464633571,,,,,
The Most Radioactive Places on Earth,Health,0.722068816,0.684036399,,,,,
The psychology of narcissism - W. Keith Campbell,Health,0.696521082,0.643634205,,,,,
Can you solve the control room riddle? - Dennis Shasha,Mathematics,0.725634983,0.641894573,,,,,
What can you learn from ancient poop?,Science & Technology,0.684811028,0.602887188,,,,,
The surprising (and invisible) signatures of sea creatures - Kakani Katija,Earth and Space Science,0.690056562,0.522243238,,,,,
Cannibalism in the animal kingdom - Bill Schutt,Life Sciences,0.713971551,0.352181706,,,,,
Stroke of insight - Jill Bolte Taylor,Medical Conditions,0,0,,,,,
A curable condition that causes blindness - Andrew Bastawrous,Health,0.728683396,0.980326533,,,,,
Where does the smell of rain come from?,Science & Technology,0.703285869,0.31469398,,,,,
The real history of Cinco de Mayo,Social Studies,0.717657865,0.476098328,,,,,
"Solid, liquid, gas and ?€? plasma? - Michael Murillo",Science & Technology,0.752324007,0.466364881,,,,,
Does my dog know what I'm thinking?,"Consciousness, Sensation and Perception",0.732994226,0.567732993,,,,,
How your muscular system works - Emma Bryce,Life Sciences,0.753548342,0.408782805,,,,,
How Different Diseases Make You Smell,Health,0.734642882,0.640474576,,,,,
The ferocious predatory dinosaurs of Cretaceous Sahara - Nizar Ibrahim,Life Sciences,0.709589718,0.357243861,,,,,
Are You A Classical Or Romantic Voter?,Civics,0.707868962,0.50194192,,,,,
Mammoths vs. Mastodons: what's the criteria for de-extinction?,Science & Technology,0.720524833,0.82301656,,,,,
Dr. Sally Ride on Dumb Questions,Social Studies,0.739223959,0.452773439,,,,,
The backwards brain bicycle: un-doing understanding,Thinking & Learning,0,0,,,,,
Can you solve the airplane riddle? - Judd A. Schorr,Mathematics,0.765948714,0.871155392,,,,,
"Why should you read ""One Hundred Years of Solitude""? - Francisco Diez-Buzo",Mathematics,0.732168525,0.823689715,,,,,
How Magellan circumnavigated the globe - Ewandro Magalhaes,History,0.72607928,0.222144953,,,,,
The controversial origins of the Encyclopedia - Addison Anderson,Writing/Composition,0.749128907,0.240891687,,,,,
Why is the very hungry caterpillar so dang hungry?,Science & Technology,0.718821379,0.662993456,,,,,
How to build a dark matter detector - Jenna Saffin,Science & Technology,0.711414103,0.729819943,,,,,
What happens during a stroke? - Vaibhav Goswami,Health,0.769919269,0.552252256,,,,,
Who's Creating Your Digital Dossier?,"Design, Engineering & Technology",0.734071274,0.365415826,,,,,
The missing plague that could have changed history,History,0,0,,,,,
"Teach girls bravery, not perfection",Teaching & Education,0,0,,,,,
"Why should you read James Joyce's ""Ulysses""? - Sam Slote",Literature,0.71834287,0.581320561,,,,,
A day in the life of an ancient Athenian - Robert Garland,History,0.683152255,0.64245532,,,,,
Why do people have seasonal allergies? - Eleanor Nelsen,Health,0.73668956,0.605301071,,,,,
Why is it so hard to cure ALS? - Fernando Vieira,Health,0.787737589,0.557233077,,,,,
The surprising reason you feel awful when you're sick - Marco A. Sotomayor,Growth & Development,0.70411396,0.490796751,,,,,
Can you solve the Leonardo da Vinci riddle? - Tanya Khovanova,Social Studies,0.757909057,1,,,,,
History vs. Augustus - Alex Gendler and Peta Greenfield,Social Studies,0.74389068,0.750869752,,,,,
Why don't perpetual motion machines ever work? - Netta Schramm,Engineering,0.696910752,0.474959989,,,,,
The science of skin color - Angela Koine Flynn,Health,0.757496163,0.362993816,,,,,
The chemistry of skunk spray,Science & Technology,0.737466118,0.667038305,,,,,
How a few scientists transformed the way we think about disease - Tien Nguyen,Science & Technology,0.756971284,0.358159382,,,,,
Ralph Waldo Emerson and the Beauty of the Everyday,Philosophy,0,0,,,,,
How memories form and how we lose them - Catharine Young,Thinking & Learning,0.719530568,0.51645499,,,,,
The Sun's surprising movement across the sky - Gordon Williamson,Science & Technology,0.701132857,0.330820582,,,,,
Will we ever be able to teleport? - Sajan Saini,Physical Science,0.68622802,0.368495412,,,,,
Will future spacecraft fit in our pockets? - Dhonam Pemba,Earth and Space Science,0.72648462,0.650438889,,,,,
Where babies in movies come from,The Arts,0.638525375,0.574667192,,,,,
Private school vs public school - how do the students compare?,Teaching & Education,0,0,,,,,
Which is stronger: Glue or tape? - Elizabeth Cox,Science & Technology,0.713273548,0.555531886,,,,,
3 Planets That Shouldn't Exist,Earth and Space Science,0.765647724,0.21551447,,,,,
What are you?,Science & Technology,0.738387208,0.786585388,,,,,
Should you trust unanimous decisions? - Derek Abbott,Data Analysis & Probability,0.765893751,1,,,,,
What in the world is topological quantum matter? - Fan Zhang,Physical Science,0.751679727,0.566825005,,,,,
How Progressivism Happened,Social Studies,0.701807505,0.684342412,,,,,
Why is NASA sending a spacecraft to a metal world? - Linda T. Elkins-Tanton,Science & Technology,0.757862694,0.548913414,,,,,
When to use apostrophes - Laura McClure,Literature & Language,0.737420689,0.481122793,,,,,
"Why is Aristophanes called ""The Father of Comedy""? - Mark Robinson",Psychology,0.762335201,0.379242915,,,,,
How to speak so that people want to listen,Science & Technology,0,0,,,,,
What happens to our bodies after we die? - Farnaz Khatibi Jafari,Sociology,0.725159281,1,,,,,
5 life hacks based on science,Thinking & Learning,0.720385242,0.517467973,,,,,
Honey: bacteria's worst enemy,Health,0.737859806,0.361722725,,,,,
How do touchscreens work?,"Design, Engineering & Technology",0.68020233,0.69979393,,,,,
How bird vomit helps us understand history,Technology,0,0,,,,,
The otherworldly creatures in the ocean's deepest depths - Lidia Lins,Physical Science,0.702673651,0.637140244,,,,,
Can you find the next number in this sequence? - Alex Gendler,Mathematics,0.731985469,0.488997094,,,,,
Why do women have periods?,Health,0.712113569,0.563376288,,,,,
Why do dogs have floppy ears?,Literature & Language,0.672582697,0.84822966,,,,,
The strongest predictor of how long you'll live,Psychology,0,0,,,,,
The real story behind Archimedes' Eureka! - Armand D'Angour,Macroeconomics,0.72217543,0.607867914,,,,,
NASA vs. SpaceX - what's the difference?,"Design, Engineering & Technology",0,0,,,,,
How architecture can create dignity for all,"Design, Engineering & Technology",0,0,,,,,
"Why should you read Virgil's ""Aeneid""? - Mark Robinson",Literature,0.752669947,0.537405779,,,,,
"Who were the Vestal Virgins, and what was their job? - Peta Greenfield",History,0.741490067,0.345974832,,,,,
Growth Mindset vs Fixed Mindset: An Introduction,Thinking & Learning,0.732717611,0.265565378,,,,,
How batteries work - Adam Jacobson,Science & Technology,0.675896334,0.260361578,,,,,
Can we survive the sun's death?,Science & Technology,0.707349238,0.767421244,,,,,
Can machines read your emotions? - Kostas Karpouzis,Mathematics,0.661250609,0.251455129,,,,,
Are naked mole rats the strangest mammals? - Thomas Park,Science & Technology,0.721901796,0.426525181,,,,,
What is a vector? - David Huynh,Measurement,0.730800917,0.350875533,,,,,
What's so great about the Great Lakes? - Cheri Dobbs and Jennifer Gabrys,Environmental Science,0.733068087,0.778724554,,,,,
How does fracking work? - Mia Nacamulli,"Design, Engineering & Technology",0.730016642,0.398379425,,,,,
"Meet the tardigrade, the toughest animal on Earth - Thomas Boothby",Life Sciences,0.711619789,0.46015786,,,,,
"Why should you read ""The Handmaid's Tale""? - Naomi R. Mercer",Health,0.779317267,0.061916475,,,,,
Ugly History: The 1937 Haitian Massacre - Edward Paulino,Social Studies,0.700490771,0.498558586,,,,,
Learning from smallpox: How to eradicate a disease - Julie Garon and Walter A. Orenstein,Science & Technology,0.733269244,0.643440375,,,,,
Is it bad to hold your pee? - Heba Shaheed,Health,0.782584424,0.437590578,,,,,
How Does it Grow? Potatoes,Environmental Science,0.759743837,0.422073499,,,,,
Zen k??ans: unsolvable enigmas designed to break your brain - Puqun Li,Teaching & Education,0.743892653,0.399602374,,,,,
Three Ways to Destroy the Universe,Earth and Space Science,0.708397662,0.684438368,,,,,
How did Polynesian wayfinders navigate the Pacific Ocean? - Alan Tamayose and Shantell De Silva,History,0.721776833,0.667992522,,,,,
Why can't you divide by zero?,Mathematics,0.695703639,0.536796894,,,,,
What is Minimalist Art And Why Does it Matter?,The Arts,0.736311859,0.570712459,,,,,
The world's most mysterious book - Stephen Bax,Literature & Language,0.722823336,0.643805947,,,,,
Winning at Rock Paper Scissors,Information Literacy,0.707498196,0.4839412,,,,,
Vatican City Explained,Philosophy & Religion,0.770283015,0.555850144,,,,,
Are there dead wasps in figs?,Earth and Space Science,0.716381808,0.510422855,,,,,
Teach every child about food - Jamie Oliver,Business & Economics,0,0,,,,,
Why don't poisonous animals poison themselves? - Rebecca D. Tarvin,Science & Technology,0.699486777,0.43882605,,,,,
Overpopulation ?€? the human explosion explained,Social Studies,0.688413546,0.619807866,,,,,
5 Weird Involuntary Reflexes Explained!,Biological Bases of Behavior,0.7268761,0.294361417,,,,,
How quickly do you judge a face?,Psychology,0.716351469,0.583526744,,,,,
Inside the minds of animals - Bryan B Rasmussen,Psychology,0.679810968,0.291238888,,,,,
Why does your cat's tongue feel like sandpaper?,Science & Technology,0.746141558,0.303745787,,,,,
Can you solve the dark coin riddle? - Lisa Winer,Mathematics,0.720947759,1,,,,,
Can you solve the passcode riddle? - Ganesh Pai,Numbers & Operations,0.746915699,1,,,,,
How brain parasites change their host's behavior - Jaap de Roode,Health,0.713027968,0.007653845,,,,,
What is dust made of? - Michael Marder,Science & Technology,0.716820838,0.480306612,,,,,
How to make your writing funnier - Cheri Steinkellner,Literature & Language,0.667092939,0.55842082,,,,,
How does the Nobel Peace Prize work? - Adeline Cuvelier and Toril Rokseth,Civics,0.725925652,0.563140008,,,,,
Debunking the myths of OCD - Natascha M. Santos,Health,0.779206355,0.487718106,,,,,
The first asteroid ever discovered - Carrie Nugent,Earth and Space Science,0.713776761,0.550494197,,,,,
Proof of Evolution That You Can Find on Your Body,Science & Technology,0.716836116,0.293834132,,,,,
The death of bees explained,Science & Technology,0.705059218,1,,,,,
Your body's real age,Life Sciences,0.753467912,0.328225434,,,,,
The treadmill's dark and twisted past - Conor Heffernan,Health,0.743788388,0.540631552,,,,,
What makes things cool?,Design,0.724121669,0.538391553,,,,,
What's the fastest way to alphabetize your bookshelf? - Chand John,Performing Arts,0.72189291,0.606792812,,,,,
How fast can we go?,Health,0,0,,,,,
What really happened to the Library of Alexandria? - Elizabeth Cox,Health,0.764858776,0.653979814,,,,,
Rhythm in a box: The story of the cajon drum - Paul Jennings,The Arts,0.751230962,0.606461816,,,,,
How to master your sense of smell - Alexandra Horowitz,Life Sciences,0.729021687,0.563242899,,,,,
The myth of Oisin and the land of eternal youth - Iseult Gillespie,Literature & Language,0.739329113,0.672605912,,,,,
Where did Russia come from? - Alex Gendler,Social Studies,0.760197435,0.595668021,,,,,
The myth of Icarus and Daedalus - Amy Adkins,Area Studies,0.72279933,0.445928345,,,,,
How North America got its shape - Peter J. Haproff,Geography,0.718513308,0.773408846,,,,,
How fan films shaped The Lego Movie,"Design, Engineering & Technology",0.671041187,0.94271301,,,,,
Could we survive prolonged space travel? - Lisa Nip,Earth and Space Science,0.679043171,0.492358298,,,,,
A brief history of goths - Dan Adams,History,0.683904662,0.650180695,,,,,
Can you solve the Mondrian squares riddle? - Gord Hamilton,Mathematics,0.711966416,1,,,,,
The complex geometry of Islamic design - Eric Broug,Design,0.738369445,0.486079419,,,,,
The weird and wonderful metamorphosis of the butterfly - Franziska Bauer,Science & Technology,0.740317815,0.48310652,,,,,
Why the octopus brain is so extraordinary - Cl??udio L. Guerra,Science & Technology,0.728089066,0.585468043,,,,,
What happens when your DNA is damaged? - Monica Menesini,Science & Technology,0.749757224,0.679057027,,,,,
What causes nosebleeds?,Health,0.698449901,0.548929603,,,,,
Explore cave paintings in this 360 degree animated cave - Iseult Gillespie,Anthropology,0.722067456,0.650448146,,,,,
You won't believe your eyes,Science & Technology,0,0,,,,,
The Philosophy of The Buddha,Philosophy & Religion,0.735057205,0.697698546,,,,,
What are Meteors?,Earth and Space Science,0,0,,,,,
A baffling balloon behavior,Mathematics,0.638994996,0.573044566,,,,,
How we think complex cells evolved - Adam Jacobson,Science & Technology,0.69249331,0.125942333,,,,,
How do drugs affect the brain? - Sara Garofalo,Life Sciences,0.750171911,0.466983821,,,,,
Why do some people hate cilantro?,Science & Technology,0.732354936,0.432856331,,,,,
Where do superstitions come from? - Stuart Vyse,Social Psychology,0.724494243,0.438275025,,,,,
Can you solve the prisoner boxes riddle? - Yossi Elran,Mathematics,0.721061368,0.950673221,,,,,
How smart are orangutans? - Lu Gao,Environmental Science,0.784488075,0.107867325,,,,,
Sunlight is way older than you think - Sten Odenwald,Science & Technology,0.705996612,0.517970072,,,,,
How exposing anonymous companies could cut down on crime - Global Witness,Business & Economics,0.71740163,0.402285981,,,,,
How cars went from boxy to curvy,"Design, Engineering & Technology",0.716328097,0.201116778,,,,,
What are mini brains? - Madeline Lancaster,Science & Technology,0.75875645,0.578039298,,,,,
The race to sequence the human genome - Tien Nguyen,Science & Technology,0.76553139,0.448853037,,,,,
What triggers a chemical reaction? - Kareem Jarrah,Science & Technology,0.732975431,0.448873955,,,,,
What is obesity? - Mia Nacamulli,Health,0.76473026,0.168915251,,,,,
How do glasses help us see? - Andrew Bastawrous and Clare Gilbert,Health,0.720222403,0.942423844,,,,,
History vs. Richard Nixon - Alex Gendler,Social Studies,0,0,,,,,
Why can't we just print money to pay off debt?,Global Economics,0,0,,,,,
"The secrets of Mozart's ""Magic Flute"" - Joshua Borths",Critical Thinking,0.727516927,0.613021157,,,,,
Can you solve the seven planets riddle? - Edwin F. Meyer,Thinking & Learning,0.720300107,0.873276399,,,,,
Freedom to Change,Social Studies,0,0,,,,,
Can you solve the wizard standoff riddle? - Daniel Finkel,Mathematics,0.728505149,0.12147471,,,,,
What do food expiration dates actually mean?,Life Sciences,0.731442271,0.374327904,,,,,
How does your body process medicine? - C??line Val??ry,Consumer Health,0.706178745,0.655350749,,,,,
The origin of countless conspiracy theories - PatrickJMT,Mathematics,0.735888496,0.399806308,,,,,
"Can you solve ""Einstein's Riddle""? - Dan Van der Vieren",Thinking & Learning,0.767040661,0.070382649,,,,,
Are Good Looking People Jerks?,Philosophy & Religion,0.705521613,0.411218417,,,,,
Why are fish fish-shaped? - Lauren Sallan,Science & Technology,0.712640146,0.490235464,,,,,
The wars that inspired Game of Thrones - Alex Gendler,Social Studies,0.764869713,0.093185766,,,,,
Could we cure aging during your lifetime?,Health,0.699442564,0.560408784,,,,,
Can you solve the fish riddle? - Steve Wyborney,Problem Solving,0.729930311,0.600000037,,,,,
Why is it so hard to cure cancer? - Kyuson Yun,Medical Conditions,0.73132423,0.518713221,,,,,
Where does gold come from? - David Lunney,Science & Technology,0.737951501,0.565138959,,,,,
Why do I have to use a number 2 pencil?,"Design, Engineering & Technology",0.676402635,0.897192876,,,,,
Why I'm stepping aside and passing the mic to students | Ashley Kolaya | TEDxYouth@Bath,Social Studies,0,0,,,,,
Meet The Frog That Barfs Up Its Babies,Environmental Science,0.709261545,0.177884423,,,,,
Could a blind eye regenerate? - David Davila,"Design, Engineering & Technology",0.696019049,0.575333813,,,,,
The science of the Game of Thrones,Environmental Science,0,0,,,,,
The mathematical secrets of Pascal's triangle - Wajdi Mohamed Ratemi,Mathematics,0.720651085,1,,,,,
The history of museums - J. V. Maranto,Social Studies,0.721744896,0.736397711,,,,,
Could human civilization spread across the whole galaxy? - Roey Tzezana,Earth and Space Science,0.717281264,0.436987948,,,,,
Who was Voltaire?,Health,0,0,,,,,
Jean-Paul Sartre and Existentialism,Philosophy & Religion,0.72594307,0.766962977,,,,,
Why are we ticklish?,Health,0.704601006,0.469579405,,,,,
The surprising reasons animals play dead - Tierney Thys,Science & Technology,0.689511224,0.516278567,,,,,
Music and emotion through time - Michael Tilson Thomas,Performing Arts,0,0,,,,,
Is DNA the future of data storage? - Leo Bear-McGuinness,Life Sciences,0.755359652,0.446520944,,,,,
Jimmy Carter: Why I believe the mistreatment of women is the number one human rights abuse,"Design, Engineering & Technology",0,0,,,,,
"Does ""The Wonderful Wizard of Oz"" have a hidden message? - David B. Parker",History,0.701940914,0.535307985,,,,,
How Does it Grow? Apples,Environmental Science,0.715624229,0.103730408,,,,,
Is our climate headed for a mathematical tipping point? - Victor J. Donnay,Mathematics,0.696389796,0.940154841,,,,,
How spontaneous brain activity keeps you alive - Nathan S. Jacobs,Health,0.724682518,0.689980344,,,,,
How much of what you see is a hallucination? - Elizabeth Cox,Health,0.731150671,0.464878893,,,,,
The psychology behind irrational decisions - Sara Garofalo,Psychology,0.726224031,0.529510534,,,,,
How old are your ears? (hearing test),Health,0.672392126,0.740574093,,,,,
What is entropy? - Jeff Phillips,Physical Science,0.734715886,0.4603456,,,,,
FOG: Clearing up the confusion,Science & Technology,0.754670169,0.364443625,,,,,
How do schools of fish swim in harmony? - Nathan S. Jacobs,Science & Technology,0.749055605,0.499874923,,,,,
Why are some people left-handed? - Daniel M. Abrams,Growth & Development,0.700847611,0.50067242,,,,,
How in vitro fertilization (IVF) works - Nassim Assefi and Brian A. Levine,"Design, Engineering & Technology",0.749614748,0.388203999,,,,,
The history of African-American social dance - Camille A. Brown,Performing Arts,0.730319508,0.62820093,,,,,
Building a dinosaur from a chicken - Jack Horner,Life Sciences,0,0,,,,,
What causes headaches? - Dan Kwartler,Health,0.725384539,0.513115255,,,,,
What if you never forgot anything?,Health,0,0,,,,,
Are ghost ships real? - Peter B. Campbell,History,0.709123652,0.703176223,,,,,
How do germs spread (and why do they make us sick)? - Yannay Khaikin and Nicole Mideo,Health,0.713638468,0.567856554,,,,,
How do vaccines work? - Kelwalin Dhanasarnsombut,Health,0.762507826,0.931045882,,,,,
Who's at risk for colon cancer? - Amit H. Sachdev and Frank G. Gress,Health,0.727497314,0.742718415,,,,,
What is epigenetics? - Carlos Guerrero-Bosagna,Life Sciences,0.748096581,0.199491812,,,,,
Check your intuition: The birthday problem - David Knuffke,Data Analysis & Probability,0.726926051,0.665138707,,,,,
Can you solve the locker riddle? - Lisa Winer,Data Analysis & Probability,0.738526,1,,,,,
How can countries measure the well-being of their citizens?,Social Studies,0.656152817,0.586339438,,,,,
Yttrium - Periodic Table Videos,Physical Science,0.758725625,0.698226039,,,,,
What can we learn from insect cribs?,Environmental Science,0.707849686,0.504262476,,,,,
Rutherfordium - Periodic Table of Videos,Physical Science,0.706757952,0.440001084,,,,,
What does income inequality mean to Americans?,Business & Economics,0.729673295,0.908671106,,,,,
Einstein's Theory of General Relativity,Physical Science,0.714574788,0.684212715,,,,,
Carl Sagan on the Existence of Extraterrestrials,Earth and Space Science,0.729159524,0.22957221,,,,,
Why should you read Virginia Woolf? - Iseult Gillespie,Literature,0.658121281,0.510564004,,,,,
How misused modifiers can hurt your writing,Literature & Language,0.730014618,0.328200035,,,,,
What is leukemia? - Danilo Allegra and Dania Puggioni,Health,0.727929906,0.236382858,,,,,
It's a church. It's a mosque. It's Hagia Sophia. - Kelly Wall,Social Studies,0.752291377,0.104199313,,,,,
The evolution of the human eye - Joshua Harvey,Life Sciences,0.722845497,0.381763175,,,,,
How to manage your time more effectively (according to machines) - Brian Christian,Thinking & Learning,0.726627798,0.2962017,,,,,
Silicon - Periodic Table of Videos,Physical Science,0.764310168,0.588368558,,,,,
The invisible motion of still objects - Ran Tivony,Science & Technology,0.713921577,0.781893542,,,,,
3 tips to boost your confidence - TED-Ed,Psychology,0.687843544,0.540288821,,,,,
Lawrencium - Periodic Table of Videos,Physical Science,0.753350061,0.606614184,,,,,
What is the biggest single-celled organism? - Murry Gans,Life Sciences,0.72448799,1,,,,,
"How do dogs ""see"" with their noses? - Alexandra Horowitz",Biological Bases of Behavior,0.713224643,0.501509279,,,,,
Cadmium - Periodic Table of Videos,Physical Science,0.771222193,0.684950648,,,,,
