Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L,,,,,,,
The science of static electricity - Anuradha Bhagwat,Science & Technology,0.340333582,0.064761905,0.31680417,0.034285714,0,0.034285714,,,,,,,
Why a total solar eclipse is such a big deal,Science & Technology,0.231688301,0.054166667,0.168106342,0.225463548,0.075087977,0.225463548,,,,,,,
What is the universe expanding into? - Sajan Saini,Science & Technology,0.309360165,0.069848485,0.209418645,0.201911674,0.02775293,0.164519837,,,,,,,
The science of milk - Jonathan J. O'Sullivan,Nutrition,0.354236874,0.064004495,0.280300366,0.1625,0,0.1625,,,,,,,
The math behind Michael Jordan's legendary hang time - Andy Peterson and Zack Patterson,Mathematics,0.472385057,0.189433883,0.433591954,0.291641414,0.156666667,0.291641414,,,,,,,
Can you solve the giant cat army riddle? - Dan Finkel,Mathematics,0.409333333,0.098199385,0.334666667,0.2,0,0.2,,,,,,,
How much of human history is on the bottom of the ocean? - Peter Campbell,Geography,0.268697318,0.098989899,0.212030651,0.031309524,0,0.031309524,,,,,,,
The impostor syndrome,Psychology,0.194464306,0,0.136108869,0,0,0,,,,,,,
Why do animals have such different lifespans? - Joao Pedro de Magalhaes,Life Sciences,0.310417529,0.057142857,0.27136991,0,0,0,,,,,,,
4 Logical Paradoxes,Philosophy,0.352592133,0.149242424,0.311200828,0.107333536,0,0.084665932,,,,,,,
How computers translate human language - Ioannis Papachimonas,"Design, Engineering & Technology",0.387965368,0.03714565,0.257506494,0.330369712,0.13,0.330369712,,,,,,,
How does your body know what time it is? - Marco A. Sotomayor,Life Sciences,0.219148138,0.090196078,0.219148138,0.0625,0,0.0625,,,,,,,
What really matters at the end of life | BJ Miller,Health,0,0,0,0,0,0,,,,,,,
Why the metric system matters - Matt Anticole,Measurement,0.409774264,0.158443064,0.39495945,0.131985247,0,0.122829084,,,,,,,
Why do cats act so weird? - Tony Buffington,Nature of Science,0.298797255,0,0.176280737,0.041071429,0,0.041071429,,,,,,,
Aphasia: The disorder that makes you lose your words - Susan Wortman-Jutt,Medical Conditions,0.26297361,0.023529412,0.18587277,0.025,0,0.025,,,,,,,
How menstruation works - Emma Bryce,Health,0.337142857,0.129786289,0.245619048,0,0,0,,,,,,,
Did ancient Troy really exist? - Einav Zamir Dembin,Social Psychology,0.443091645,0.153846154,0.403857195,0.3,0.275,0.3,,,,,,,
The Psychology of Listicles,Psychology,0.238633239,0,0.126213171,0,0,0,,,,,,,
What causes bad breath? - Mel Rosenberg,Health,0.32491724,0.066666667,0.229634581,0.160119048,0,0.149007937,,,,,,,
Will the ocean ever run out of fish? - Ayana Elizabeth Johnson and Jennifer Jacquet,Environmental Science,0.261305764,0.047058824,0.261305764,0.177738095,0.095,0.161071429,,,,,,,
Can you solve the egg drop riddle? - Yossi Elran,Mathematics,0.494746184,0.209624385,0.422333216,0.05,0,0.05,,,,,,,
Are Deodorants Bad For You?,Health,0.213897471,0.034782609,0.213897471,0.133333333,0,0.133333333,,,,,,,
Are Boys Smarter Than Girls?,Thinking & Learning,0.069368624,0,0.069368624,0,0,0,,,,,,,
"Why is Vermeer's ""Girl with the Pearl Earring"" considered a masterpiece? - James Earle",Visual Arts,0.330000283,0.133538462,0.315714569,0.01,0,0.01,,,,,,,
The oldest living things in the world,Literature & Language,0.283723697,0.096438923,0.210921137,0.08040404,0,0.04020202,,,,,,,
The pleasure of poetic pattern - David Silverstein,Literature & Language,0.444224664,0.121052632,0.343125763,0.249354514,0.007692308,0.249354514,,,,,,,
Friendship & vulnerability,Psychology,0.241346845,0,0.223955541,0.019090909,0,0.019090909,,,,,,,
Can you solve the buried treasure riddle? - Daniel Griller,Mathematics,0.507713706,0.162555963,0.415185936,0.218326657,0.063392857,0.192852172,,,,,,,
The incredible collaboration behind the International Space Station - Tien Nguyen,"Design, Engineering & Technology",0.424253968,0.258188951,0.378920635,0,0,0,,,,,,,
What's the big deal with gluten? - William D. Chey,Health,0.323940118,0.028571429,0.181493868,0.206666667,0.183333333,0.206666667,,,,,,,
How many verb tenses are there in English? - Anna Ananichuk,Writing/Composition,0.426749925,0.158013828,0.332677273,0.025874126,0,0.025874126,,,,,,,
How do geckos defy gravity? - Eleanor Nelsen,Science & Technology,0.271136123,0.09298939,0.254469456,0.046978022,0,0.046978022,,,,,,,
Why is being scared so fun? - Margee Kerr,Psychology,0.366263535,0.192592593,0.30089955,0.01,0,0.01,,,,,,,
How to make your writing suspenseful - Victoria Smith,Writing/Composition,0.264480519,0.04605042,0.218679654,0.014285714,0,0.014285714,,,,,,,
The mathematics of sidewalk illusions - Fumiko Futamura,Visual Arts,0.293165266,0.084102564,0.293165266,0.102738095,0.033333333,0.102738095,,,,,,,
What's the ultimate campfire fuel?,Physical Science,0.251370851,0.025,0.210966811,0.089285714,0,0.089285714,,,,,,,
Can you solve the virus riddle? - Lisa Winer,Problem Solving,0.244880798,0.083525734,0.244880798,0.235309396,0.062406015,0.230152235,,,,,,,
Is there a reproducibility crisis in science? - Matt Anticole,Science & Technology,0.245374625,0.033333333,0.245374625,0.10553037,0.025,0.10553037,,,,,,,
Time: the history & future of everything,Science & Technology,0.308458032,0.152818627,0.277208032,0.13299062,0.053571429,0.13299062,,,,,,,
Why the ocean is getting louder,Science & Technology,0.125,0,0.125,0.091097308,0.026315789,0.091097308,,,,,,,
The surprising link between stress and memory - Elizabeth Cox,Literature & Language,0.256410256,0.016666667,0.226210826,0.082692308,0.05,0.082692308,,,,,,,
When is water safe to drink? - Mia Nacamulli,Health,0.319286988,0.042222222,0.278882947,0.1,0.05,0.1,,,,,,,
Want to survive a hurricane? Think like a tree...,"Design, Engineering & Technology",0.160247479,0.019047619,0.160247479,0.067380952,0,0.067380952,,,,,,,
The Most Radioactive Places on Earth,Health,0.45,0.090909091,0.383333333,0,0,0,,,,,,,
The psychology of narcissism - W. Keith Campbell,Health,0.308559728,0.072727273,0.263997394,0.145592186,0.049090909,0.137258852,,,,,,,
Can you solve the control room riddle? - Dennis Shasha,Mathematics,0.203842664,0,0.138011308,0,0,0,,,,,,,
What can you learn from ancient poop?,Science & Technology,0.205434174,0,0.167934174,0.046868687,0,0.046868687,,,,,,,
The surprising (and invisible) signatures of sea creatures - Kakani Katija,Earth and Space Science,0.2280742,0.013793103,0.165541344,0.170288045,0.021111111,0.119427239,,,,,,,
Cannibalism in the animal kingdom - Bill Schutt,Life Sciences,0.25372549,0.051666667,0.202931839,0.180614386,0.077777778,0.180614386,,,,,,,
Stroke of insight - Jill Bolte Taylor,Medical Conditions,0,0,0,0,0,0,,,,,,,
A curable condition that causes blindness - Andrew Bastawrous,Health,0.461140351,0.057142857,0.294929825,0.15,0,0.15,,,,,,,
Where does the smell of rain come from?,Science & Technology,0.361461251,0.05,0.289402428,0.195477023,0.082626263,0.184365912,,,,,,,
The real history of Cinco de Mayo,Social Studies,0.216031746,0,0.216031746,0,0,0,,,,,,,
"Solid, liquid, gas and ?€? plasma? - Michael Murillo",Science & Technology,0.413623188,0.126984127,0.337432712,0.096142191,0.01,0.094090909,,,,,,,
Does my dog know what I'm thinking?,"Consciousness, Sensation and Perception",0.217676252,0,0.104384344,0.036111111,0,0.036111111,,,,,,,
How your muscular system works - Emma Bryce,Life Sciences,0.48248366,0.214444444,0.413202614,0.26011655,0.15,0.26011655,,,,,,,
How Different Diseases Make You Smell,Health,0.287330936,0.116290727,0.271330936,0.116666667,0,0.116666667,,,,,,,
The ferocious predatory dinosaurs of Cretaceous Sahara - Nizar Ibrahim,Life Sciences,0.322993673,0.167365967,0.270942391,0.01,0,0.01,,,,,,,
Are You A Classical Or Romantic Voter?,Civics,0.351714286,0.101901963,0.274571429,0.206125356,0.1,0.199875356,,,,,,,
Mammoths vs. Mastodons: what's the criteria for de-extinction?,Science & Technology,0.303331391,0.04,0.187147112,0.019444444,0,0.019444444,,,,,,,
Dr. Sally Ride on Dumb Questions,Social Studies,0.284201441,0.138708309,0.23908425,0.083002962,0.010526316,0.083002962,,,,,,,
The backwards brain bicycle: un-doing understanding,Thinking & Learning,0,0,0,0,0,0,,,,,,,
Can you solve the airplane riddle? - Judd A. Schorr,Mathematics,0.312201681,0.114860273,0.300773109,0.12,0.055357143,0.12,,,,,,,
"Why should you read ""One Hundred Years of Solitude""? - Francisco Diez-Buzo",Mathematics,0.474469331,0.331174603,0.457078027,0.035606061,0,0.035606061,,,,,,,
How Magellan circumnavigated the globe - Ewandro Magalhaes,History,0.216312903,0.039569892,0.165858357,0.084776539,0.032916667,0.084776539,,,,,,,
The controversial origins of the Encyclopedia - Addison Anderson,Writing/Composition,0.391549708,0.114935065,0.361549708,0.177309063,0.02,0.177309063,,,,,,,
Why is the very hungry caterpillar so dang hungry?,Science & Technology,0.328501561,0.080200501,0.311110256,0.071428571,0.02,0.071428571,,,,,,,
How to build a dark matter detector - Jenna Saffin,Science & Technology,0.37920051,0.168671679,0.37920051,0.083333333,0,0.083333333,,,,,,,
What happens during a stroke? - Vaibhav Goswami,Health,0.518431373,0.133333333,0.468431373,0.173927343,0.061021242,0.173927343,,,,,,,
Who's Creating Your Digital Dossier?,"Design, Engineering & Technology",0.413227513,0.237500184,0.283597884,0,0,0,,,,,,,
The missing plague that could have changed history,History,0,0,0,0,0,0,,,,,,,
"Teach girls bravery, not perfection",Teaching & Education,0,0,0,0,0,0,,,,,,,
"Why should you read James Joyce's ""Ulysses""? - Sam Slote",Literature,0.304042045,0.022222222,0.222694697,0.008333333,0,0.008333333,,,,,,,
A day in the life of an ancient Athenian - Robert Garland,History,0.209297491,0.042577031,0.191906187,0.062896825,0.01,0.062896825,,,,,,,
Why do people have seasonal allergies? - Eleanor Nelsen,Health,0.413157895,0.097058824,0.26871345,0,0,0,,,,,,,
Why is it so hard to cure ALS? - Fernando Vieira,Health,0.420396825,0.108547009,0.322936508,0.016666667,0,0.016666667,,,,,,,
The surprising reason you feel awful when you're sick - Marco A. Sotomayor,Growth & Development,0.293804714,0.022222222,0.227474747,0.025,0,0.025,,,,,,,
Can you solve the Leonardo da Vinci riddle? - Tanya Khovanova,Social Studies,0.304099486,0.128600376,0.210590082,0,0,0,,,,,,,
History vs. Augustus - Alex Gendler and Peta Greenfield,Social Studies,0.38774512,0.187254902,0.361078454,0.0525,0.033333333,0.0525,,,,,,,
Why don't perpetual motion machines ever work? - Netta Schramm,Engineering,0.344723789,0.17769147,0.331820563,0.168319711,0,0.158653044,,,,,,,
The science of skin color - Angela Koine Flynn,Health,0.296124795,0.066666667,0.219474548,0.075,0,0.075,,,,,,,
The chemistry of skunk spray,Science & Technology,0.380841522,0.14342246,0.362659704,0,0,0,,,,,,,
How a few scientists transformed the way we think about disease - Tien Nguyen,Science & Technology,0.400946053,0.149590596,0.304478581,0.162354661,0.073333333,0.162354661,,,,,,,
Ralph Waldo Emerson and the Beauty of the Everyday,Philosophy,0,0,0,0,0,0,,,,,,,
How memories form and how we lose them - Catharine Young,Thinking & Learning,0.266524217,0,0.196509972,0.013333333,0,0.006666667,,,,,,,
The Sun's surprising movement across the sky - Gordon Williamson,Science & Technology,0.376515648,0.151856897,0.334391106,0.121616494,0.024128788,0.117449827,,,,,,,
Will we ever be able to teleport? - Sajan Saini,Physical Science,0.308340176,0.05748347,0.225624633,0.098784999,0,0.092326665,,,,,,,
Will future spacecraft fit in our pockets? - Dhonam Pemba,Earth and Space Science,0.246458874,0,0.230458874,0.011111111,0,0.011111111,,,,,,,
Where babies in movies come from,The Arts,0.243402137,0.017391304,0.153606793,0.114285714,0,0.114285714,,,,,,,
Private school vs public school - how do the students compare?,Teaching & Education,0,0,0,0,0,0,,,,,,,
Which is stronger: Glue or tape? - Elizabeth Cox,Science & Technology,0.384190111,0.102857143,0.357523444,0.156666667,0.075,0.156666667,,,,,,,
3 Planets That Shouldn't Exist,Earth and Space Science,0.317857143,0.053571429,0.298809524,0.112765568,0,0.10507326,,,,,,,
What are you?,Science & Technology,0.24131677,0,0.18821118,0.133333333,0,0.133333333,,,,,,,
Should you trust unanimous decisions? - Derek Abbott,Data Analysis & Probability,0.128580161,0,0.102545809,0,0,0,,,,,,,
What in the world is topological quantum matter? - Fan Zhang,Physical Science,0.32431746,0.091052632,0.238349206,0.095661977,0.014285714,0.095661977,,,,,,,
How Progressivism Happened,Social Studies,0.193839803,0.036363636,0.173839803,0,0,0,,,,,,,
Why is NASA sending a spacecraft to a metal world? - Linda T. Elkins-Tanton,Science & Technology,0.475511242,0.122305764,0.391066797,0.150063131,0.007142857,0.116729798,,,,,,,
When to use apostrophes - Laura McClure,Literature & Language,0.474542955,0.257060755,0.424203385,0.480015895,0.290181485,0.467680585,,,,,,,
"Why is Aristophanes called ""The Father of Comedy""? - Mark Robinson",Psychology,0.315985949,0.055238095,0.294933317,0.115361481,0.035338346,0.110717518,,,,,,,
How to speak so that people want to listen,Science & Technology,0,0,0,0,0,0,,,,,,,
What happens to our bodies after we die? - Farnaz Khatibi Jafari,Sociology,0.263481646,0.059259259,0.198882091,0.133333333,0,0.133333333,,,,,,,
5 life hacks based on science,Thinking & Learning,0.316156806,0.155760369,0.290702261,0.062987013,0.011111111,0.043939394,,,,,,,
Honey: bacteria's worst enemy,Health,0.218864469,0,0.160531136,0.11,0,0.11,,,,,,,
How do touchscreens work?,"Design, Engineering & Technology",0.124804766,0.031746032,0.124804766,0,0,0,,,,,,,
How bird vomit helps us understand history,Technology,0,0,0,0,0,0,,,,,,,
The otherworldly creatures in the ocean's deepest depths - Lidia Lins,Physical Science,0.377264977,0.10961039,0.377264977,0.080952381,0,0.080952381,,,,,,,
Can you find the next number in this sequence? - Alex Gendler,Mathematics,0.39985348,0.177272727,0.39985348,0.057692308,0.05,0.057692308,,,,,,,
Why do women have periods?,Health,0.307963801,0.158498498,0.28745098,0.042222222,0,0.042222222,,,,,,,
Why do dogs have floppy ears?,Literature & Language,0.312070448,0.092,0.2476892,0,0,0,,,,,,,
The strongest predictor of how long you'll live,Psychology,0,0,0,0,0,0,,,,,,,
The real story behind Archimedes' Eureka! - Armand D'Angour,Macroeconomics,0.500191816,0.213333333,0.457800512,0.113975469,0.02,0.10488456,,,,,,,
NASA vs. SpaceX - what's the difference?,"Design, Engineering & Technology",0,0,0,0,0,0,,,,,,,
How architecture can create dignity for all,"Design, Engineering & Technology",0,0,0,0,0,0,,,,,,,
"Why should you read Virgil's ""Aeneid""? - Mark Robinson",Literature,0.359210526,0.095282659,0.34254386,0.0125,0,0.0125,,,,,,,
"Who were the Vestal Virgins, and what was their job? - Peta Greenfield",History,0.459123655,0.188313136,0.44430884,0.158864608,0.038383838,0.145563326,,,,,,,
Growth Mindset vs Fixed Mindset: An Introduction,Thinking & Learning,0.308412465,0.058181818,0.2537934,0.092672034,0.064848485,0.092672034,,,,,,,
How batteries work - Adam Jacobson,Science & Technology,0.197589744,0.017391304,0.146205128,0.017424242,0,0.017424242,,,,,,,
Can we survive the sun's death?,Science & Technology,0.19598189,0.011111111,0.153876627,0,0,0,,,,,,,
Can machines read your emotions? - Kostas Karpouzis,Mathematics,0.255304116,0.02,0.219730994,0.073556617,0,0.067915592,,,,,,,
Are naked mole rats the strangest mammals? - Thomas Park,Science & Technology,0.513131313,0.224300752,0.324810005,0.228571429,0.072857143,0.228571429,,,,,,,
What is a vector? - David Huynh,Measurement,0.355065359,0.159545455,0.355065359,0.118134921,0.021634615,0.103849206,,,,,,,
What's so great about the Great Lakes? - Cheri Dobbs and Jennifer Gabrys,Environmental Science,0.486403276,0.287270464,0.38963935,0.275,0.15,0.275,,,,,,,
How does fracking work? - Mia Nacamulli,"Design, Engineering & Technology",0.45451308,0.076444444,0.339777876,0.027894328,0,0.027894328,,,,,,,
"Meet the tardigrade, the toughest animal on Earth - Thomas Boothby",Life Sciences,0.245108914,0.04,0.218442247,0.023449883,0,0.023449883,,,,,,,
"Why should you read ""The Handmaid's Tale""? - Naomi R. Mercer",Health,0.296233766,0.031578947,0.23987013,0.108947719,0,0.108947719,,,,,,,
Ugly History: The 1937 Haitian Massacre - Edward Paulino,Social Studies,0.275227343,0.055172414,0.206231951,0.071111111,0.0125,0.071111111,,,,,,,
Learning from smallpox: How to eradicate a disease - Julie Garon and Walter A. Orenstein,Science & Technology,0.476767677,0.15,0.387878788,0.106960784,0.071025641,0.106960784,,,,,,,
Is it bad to hold your pee? - Heba Shaheed,Health,0.34254386,0.048529412,0.217105263,0.17010101,0.054722222,0.148989899,,,,,,,
How Does it Grow? Potatoes,Environmental Science,0.54598714,0.265009761,0.495217909,0.175,0.05,0.175,,,,,,,
Zen k??ans: unsolvable enigmas designed to break your brain - Puqun Li,Teaching & Education,0.265826331,0.026666667,0.206778711,0.115393161,0.01,0.112218558,,,,,,,
Three Ways to Destroy the Universe,Earth and Space Science,0.46873706,0.162444573,0.357763975,0.233333333,0.175,0.233333333,,,,,,,
How did Polynesian wayfinders navigate the Pacific Ocean? - Alan Tamayose and Shantell De Silva,History,0.291575486,0.12162465,0.233263466,0.183214286,0.02,0.168928571,,,,,,,
Why can't you divide by zero?,Mathematics,0.50561912,0.236344538,0.406509026,0.166393606,0.011805556,0.129048729,,,,,,,
What is Minimalist Art And Why Does it Matter?,The Arts,0.372254902,0.088205128,0.352254902,0.047202381,0,0.047202381,,,,,,,
The world's most mysterious book - Stephen Bax,Literature & Language,0.538412698,0.336538462,0.467301587,0.135793651,0,0.135793651,,,,,,,
Winning at Rock Paper Scissors,Information Literacy,0.164024993,0.011111111,0.104944827,0.099007937,0,0.099007937,,,,,,,
Vatican City Explained,Philosophy & Religion,0.344139194,0.136446886,0.289010989,0,0,0,,,,,,,
Are there dead wasps in figs?,Earth and Space Science,0.213048553,0,0.190826331,0.220499207,0.01,0.181382727,,,,,,,
Teach every child about food - Jamie Oliver,Business & Economics,0,0,0,0,0,0,,,,,,,
Why don't poisonous animals poison themselves? - Rebecca D. Tarvin,Science & Technology,0.357275542,0.086666667,0.299859274,0.260303103,0.129302266,0.25696977,,,,,,,
Overpopulation ?€? the human explosion explained,Social Studies,0.236671621,0.0125,0.212003689,0,0,0,,,,,,,
5 Weird Involuntary Reflexes Explained!,Biological Bases of Behavior,0.318423837,0.073809524,0.254263302,0.19,0.083333333,0.19,,,,,,,
How quickly do you judge a face?,Psychology,0.251325758,0.067857143,0.203409091,0,0,0,,,,,,,
Inside the minds of animals - Bryan B Rasmussen,Psychology,0.243274413,0.024242424,0.192494929,0.045454545,0,0.045454545,,,,,,,
Why does your cat's tongue feel like sandpaper?,Science & Technology,0.372673693,0.081292994,0.372673693,0.151233766,0.0125,0.144090909,,,,,,,
Can you solve the dark coin riddle? - Lisa Winer,Mathematics,0.236765914,0.030769231,0.176885317,0,0,0,,,,,,,
Can you solve the passcode riddle? - Ganesh Pai,Numbers & Operations,0.255504954,0.008,0.169996138,0.145464196,0.064993895,0.129347042,,,,,,,
How brain parasites change their host's behavior - Jaap de Roode,Health,0.20466565,0,0.176163234,0.066666667,0,0.066666667,,,,,,,
What is dust made of? - Michael Marder,Science & Technology,0.353627002,0.10191769,0.284569031,0.016666667,0,0.016666667,,,,,,,
How to make your writing funnier - Cheri Steinkellner,Literature & Language,0.308208852,0.129817444,0.289161233,0.228128816,0,0.203128816,,,,,,,
How does the Nobel Peace Prize work? - Adeline Cuvelier and Toril Rokseth,Civics,0.530593864,0.360784314,0.507064453,0.143452381,0.1,0.143452381,,,,,,,
Debunking the myths of OCD - Natascha M. Santos,Health,0.427464115,0.141176471,0.427464115,0.133333333,0,0.133333333,,,,,,,
The first asteroid ever discovered - Carrie Nugent,Earth and Space Science,0.220755171,0,0.177368927,0.151904762,0,0.12,,,,,,,
Proof of Evolution That You Can Find on Your Body,Science & Technology,0.289697723,0.087321374,0.248745342,0.047843823,0,0.043298368,,,,,,,
The death of bees explained,Science & Technology,0.360701754,0.025,0.169824561,0.046785714,0,0.040535714,,,,,,,
Your body's real age,Life Sciences,0.156594517,0.022222222,0.156594517,0.033333333,0,0.033333333,,,,,,,
The treadmill's dark and twisted past - Conor Heffernan,Health,0.542783883,0.294152047,0.473919414,0.421904762,0.103333333,0.421904762,,,,,,,
What makes things cool?,Design,0.238400815,0.035550754,0.214514897,0.02,0.0125,0.02,,,,,,,
What's the fastest way to alphabetize your bookshelf? - Chand John,Performing Arts,0.333910534,0.089471572,0.273328523,0.380926773,0.261764706,0.380926773,,,,,,,
How fast can we go?,Health,0,0,0,0,0,0,,,,,,,
What really happened to the Library of Alexandria? - Elizabeth Cox,Health,0.522301587,0.334451659,0.505634921,0.129399767,0.025,0.129399767,,,,,,,
Rhythm in a box: The story of the cajon drum - Paul Jennings,The Arts,0.399979964,0.154320283,0.355125893,0.091666667,0.05,0.091666667,,,,,,,
How to master your sense of smell - Alexandra Horowitz,Life Sciences,0.268970822,0.052964427,0.196970822,0.114165279,0,0.095983461,,,,,,,
The myth of Oisin and the land of eternal youth - Iseult Gillespie,Literature & Language,0.212614379,0,0.189084967,0.02,0,0.02,,,,,,,
Where did Russia come from? - Alex Gendler,Social Studies,0.405506556,0.162796624,0.357829538,0.243181818,0.083333333,0.243181818,,,,,,,
The myth of Icarus and Daedalus - Amy Adkins,Area Studies,0.37249809,0.047719298,0.334402852,0.176291496,0.066783217,0.16452679,,,,,,,
How North America got its shape - Peter J. Haproff,Geography,0.312301587,0.126247437,0.276746032,0.05,0,0.05,,,,,,,
How fan films shaped The Lego Movie,"Design, Engineering & Technology",0.274294671,0,0.159874608,0,0,0,,,,,,,
Could we survive prolonged space travel? - Lisa Nip,Earth and Space Science,0.210072446,0,0.179257631,0.021358543,0,0.021358543,,,,,,,
A brief history of goths - Dan Adams,History,0.397858336,0.160697953,0.340532469,0.05491453,0.014285714,0.05491453,,,,,,,
Can you solve the Mondrian squares riddle? - Gord Hamilton,Mathematics,0.416546542,0.219616436,0.384869523,0.087692308,0,0.077692308,,,,,,,
The complex geometry of Islamic design - Eric Broug,Design,0.424255744,0.106549708,0.355840826,0.147871148,0.032955466,0.147871148,,,,,,,
The weird and wonderful metamorphosis of the butterfly - Franziska Bauer,Science & Technology,0.416093858,0.200450969,0.382702553,0.129090909,0.0625,0.129090909,,,,,,,
Why the octopus brain is so extraordinary - Cl??udio L. Guerra,Science & Technology,0.316410763,0.059047619,0.22506841,0.065238095,0.0425,0.065238095,,,,,,,
What happens when your DNA is damaged? - Monica Menesini,Science & Technology,0.283282658,0.041310541,0.205443075,0.27952381,0.15,0.27952381,,,,,,,
What causes nosebleeds?,Health,0.379238095,0.078929766,0.221333333,0,0,0,,,,,,,
Explore cave paintings in this 360 degree animated cave - Iseult Gillespie,Anthropology,0.20753354,0.067873303,0.178121775,0.0625,0.0625,0.0625,,,,,,,
You won't believe your eyes,Science & Technology,0,0,0,0,0,0,,,,,,,
The Philosophy of The Buddha,Philosophy & Religion,0.375547749,0.070588235,0.375547749,0.183982684,0,0.183982684,,,,,,,
What are Meteors?,Earth and Space Science,0,0,0,0,0,0,,,,,,,
A baffling balloon behavior,Mathematics,0.384485646,0.065862996,0.276406949,0.015384615,0,0.015384615,,,,,,,
How we think complex cells evolved - Adam Jacobson,Science & Technology,0.376247935,0.089166667,0.230825971,0.083970474,0.011111111,0.083970474,,,,,,,
How do drugs affect the brain? - Sara Garofalo,Life Sciences,0.442185147,0.20280112,0.410185147,0.097272727,0.036900585,0.092213203,,,,,,,
Why do some people hate cilantro?,Science & Technology,0.304979798,0.056,0.21616835,0.067619048,0,0.067619048,,,,,,,
Where do superstitions come from? - Stuart Vyse,Social Psychology,0.421345974,0.136666667,0.368354521,0.060119048,0.033333333,0.060119048,,,,,,,
Can you solve the prisoner boxes riddle? - Yossi Elran,Mathematics,0.236405272,0.010810811,0.226649175,0.1,0,0.1,,,,,,,
How smart are orangutans? - Lu Gao,Environmental Science,0.313354563,0.042105263,0.252301931,0.02,0,0.02,,,,,,,
Sunlight is way older than you think - Sten Odenwald,Science & Technology,0.416685442,0.205059168,0.329047549,0.100465417,0,0.088188339,,,,,,,
How exposing anonymous companies could cut down on crime - Global Witness,Business & Economics,0.410367893,0.195238095,0.394983278,0.05265984,0.008333333,0.05265984,,,,,,,
How cars went from boxy to curvy,"Design, Engineering & Technology",0.306590129,0.084298447,0.251017414,0.068064893,0.02,0.068064893,,,,,,,
What are mini brains? - Madeline Lancaster,Science & Technology,0.377655678,0.126748252,0.362271062,0.077424242,0.014285714,0.077424242,,,,,,,
The race to sequence the human genome - Tien Nguyen,Science & Technology,0.559621022,0.427420396,0.400099438,0.179246032,0.02,0.179246032,,,,,,,
What triggers a chemical reaction? - Kareem Jarrah,Science & Technology,0.404095694,0.182091503,0.385913876,0.268212898,0.099642857,0.230788656,,,,,,,
What is obesity? - Mia Nacamulli,Health,0.289989201,0,0.224391778,0.17045177,0.097272727,0.17045177,,,,,,,
How do glasses help us see? - Andrew Bastawrous and Clare Gilbert,Health,0.401816931,0.160197343,0.300828721,0.05,0,0.05,,,,,,,
History vs. Richard Nixon - Alex Gendler,Social Studies,0,0,0,0,0,0,,,,,,,
Why can't we just print money to pay off debt?,Global Economics,0,0,0,0,0,0,,,,,,,
"The secrets of Mozart's ""Magic Flute"" - Joshua Borths",Critical Thinking,0.253894994,0.091919192,0.253894994,0.17377127,0.052882206,0.17377127,,,,,,,
Can you solve the seven planets riddle? - Edwin F. Meyer,Thinking & Learning,0.391649832,0.106127489,0.278350168,0.085582555,0,0.079700202,,,,,,,
Freedom to Change,Social Studies,0,0,0,0,0,0,,,,,,,
Can you solve the wizard standoff riddle? - Daniel Finkel,Mathematics,0.345315263,0.084511785,0.253656527,0.0870116,0,0.0870116,,,,,,,
What do food expiration dates actually mean?,Life Sciences,0.28119711,0.103333333,0.231001032,0.155598846,0.064102564,0.155598846,,,,,,,
How does your body process medicine? - C??line Val??ry,Consumer Health,0.259832999,0.044992629,0.194875734,0.159090909,0.05,0.159090909,,,,,,,
The origin of countless conspiracy theories - PatrickJMT,Mathematics,0.358659326,0.116316936,0.268846389,0.087586663,0,0.078928654,,,,,,,
"Can you solve ""Einstein's Riddle""? - Dan Van der Vieren",Thinking & Learning,0.350754982,0.056599977,0.286950148,0.198585926,0.078571429,0.198585926,,,,,,,
Are Good Looking People Jerks?,Philosophy & Religion,0.336975728,0.074252874,0.245610105,0.194177052,0,0.174947254,,,,,,,
Why are fish fish-shaped? - Lauren Sallan,Science & Technology,0.298534799,0.180861244,0.283150183,0.014285714,0,0.014285714,,,,,,,
The wars that inspired Game of Thrones - Alex Gendler,Social Studies,0.450535948,0.26294686,0.418535948,0.127805189,0.016666667,0.127805189,,,,,,,
Could we cure aging during your lifetime?,Health,0.222507184,0.017857143,0.206882184,0.041666667,0,0.041666667,,,,,,,
Can you solve the fish riddle? - Steve Wyborney,Problem Solving,0.385576259,0.097497076,0.339861974,0.056666667,0,0.056666667,,,,,,,
Why is it so hard to cure cancer? - Kyuson Yun,Medical Conditions,0.329565217,0.061269841,0.329565217,0.130777623,0.035482655,0.111510224,,,,,,,
Where does gold come from? - David Lunney,Science & Technology,0.296670683,0.068148148,0.296670683,0.016666667,0,0.016666667,,,,,,,
Why do I have to use a number 2 pencil?,"Design, Engineering & Technology",0.272529644,0.07047619,0.225247036,0.033333333,0,0.033333333,,,,,,,
Why I'm stepping aside and passing the mic to students | Ashley Kolaya | TEDxYouth@Bath,Social Studies,0,0,0,0,0,0,,,,,,,
Meet The Frog That Barfs Up Its Babies,Environmental Science,0.287663999,0.113960328,0.244475059,0.081834734,0.0125,0.081834734,,,,,,,
Could a blind eye regenerate? - David Davila,"Design, Engineering & Technology",0.249460317,0.0784689,0.181079365,0.1,0,0.1,,,,,,,
The science of the Game of Thrones,Environmental Science,0,0,0,0,0,0,,,,,,,
